no2_mol_m2,surface_pressure,mes,surface_solar_radiation_downwards,temperature_2m,zona,anio,no2_ug_m3_suelo_pred
4.754289076279457e-05,101296.53933607442,1,6492519.610064034,301.08539655479046,Dist_26Oct,2025,2.7146037
3.862085457174739e-05,100649.10431153688,1,6737334.720884672,298.58970418732946,Dist_Paita,2025,2.0157835
3.8791397799089406e-05,98609.62296489233,1,6294421.038113585,299.45178783137663,Parinas,2025,1.696808
4.6334843892970946e-05,101231.94563103587,2,6332702.772723327,302.39223567401814,Dist_26Oct,2025,2.655278
3.844037385989819e-05,100585.64613098692,2,6637907.863542302,300.10800767597135,Dist_Paita,2025,1.9372299
3.897239987873688e-05,98566.909987731,2,6105155.634886829,300.3016374410148,Parinas,2025,1.6379787
4.544698266481513e-05,101239.29974029204,3,6340000.55824752,302.2218352836508,Dist_26Oct,2025,2.593691
3.8607026552512974e-05,100588.79062118537,3,6208721.808818731,300.13462724043615,Dist_Paita,2025,1.9235066
3.9052805313483275e-05,98576.78851173237,3,6011217.003333582,300.21765593738064,Parinas,2025,1.5082713
4.64094813344946e-05,101262.00609231748,4,6319815.874002738,300.95184680120036,Dist_26Oct,2025,2.5691216
3.965309930100189e-05,100609.82217230582,4,6542007.882548644,298.6789119629736,Dist_Paita,2025,1.8157321
4.024493887656017e-05,98574.83053094163,4,6202560.17869075,299.6251044193419,Parinas,2025,1.4803034
4.6067714668906314e-05,101351.99299378475,5,6242288.406444088,299.07211500254016,Dist_26Oct,2025,2.585496
4.0257715939230024e-05,100694.90877040877,5,6291117.672696044,297.0758671444412,Dist_Paita,2025,1.990695
4.1065484761108554e-05,98631.59899296377,5,6165486.082816283,298.42049900489513,Parinas,2025,1.3654373
5.043278124295914e-05,101443.59144277261,6,5902920.360220708,297.2600941677145,Dist_26Oct,2025,2.7129567
4.225935767954516e-05,100778.58296216257,6,5884996.521518077,295.76788297189256,Dist_Paita,2025,2.175644
4.324519475810057e-05,98697.22090092555,6,5923734.837466268,296.99985674018154,Parinas,2025,1.4420239
5.2543586478992894e-05,101452.75271569233,7,5988126.254905782,296.2539723473186,Dist_26Oct,2025,2.6731813
4.338203776846966e-05,100785.18552577218,7,5960863.141142938,294.8694572032764,Dist_Paita,2025,2.234227
4.527092521786216e-05,98693.72786156833,7,6084429.665628465,296.2401140344422,Parinas,2025,1.6235063
5.300022029927763e-05,101491.04068074633,8,6564899.234572699,295.92350918867197,Dist_26Oct,2025,2.7445862
4.45631676238362e-05,100825.05214555442,8,6488384.298426882,294.35873807984166,Dist_Paita,2025,2.1764307
4.6484833927295055e-05,98728.52716406414,8,6655947.3913691,295.8370494094391,Parinas,2025,1.6242639
5.432956296470874e-05,101439.52925765829,9,7303116.814533667,296.21100699790463,Dist_26Oct,2025,2.9818408
4.6526196269962774e-05,100801.21530613794,9,6790115.826312945,294.32526757562874,Dist_Paita,2025,2.1577494
4.8214889709233414e-05,98688.22966289798,9,7209721.171246106,295.9454762710239,Parinas,2025,1.8192215
5.228059398214315e-05,101411.98510295957,10,7434587.705787682,296.72226194351026,Dist_26Oct,2025,2.913603
4.517879606060622e-05,100776.49110731644,10,7013267.196895044,294.66552678638294,Dist_Paita,2025,2.1615222
4.672140250922678e-05,98667.79494029077,10,7402534.954702261,296.34955182314445,Parinas,2025,1.8798476
5.0779428614793623e-05,101394.89146792135,11,7286689.8486438235,297.08899324624554,Dist_26Oct,2025,2.8306208
4.360817487853271e-05,100760.83557482748,11,7391450.925374933,295.0450181728993,Dist_Paita,2025,2.277922
4.511289749621618e-05,98659.61405841481,11,7490552.344051776,296.3740893475629,Parinas,2025,1.8756355
5.049824070548805e-05,101302.8437834012,12,6788653.72409665,299.0813803471823,Dist_26Oct,2025,2.8375008
4.1915338554286555e-05,100672.94936798018,12,6963443.201582041,296.82139710089973,Dist_Paita,2025,2.1100497
4.2585005131332974e-05,98593.54180661947,12,6785752.99216707,297.9808543581162,Parinas,2025,1.7344618
4.777942255763435e-05,101800.50221834345,1,6524820.702651418,302.58333385108295,Dist_26Oct,2026,3.2323372
3.881299812683071e-05,101149.84612403209,1,6770853.799098029,300.0752251036844,Dist_Paita,2026,2.3554244
3.8984389827940596e-05,99100.21810402116,1,6325736.565666389,300.941597721085,Parinas,2026,1.8346863
4.656536550437876e-05,101735.58715158828,2,6364208.756667225,303.89667465747095,Dist_26Oct,2026,3.1672952
3.8631619500992216e-05,101086.0722311411,2,6670932.280773855,301.601082341026,Dist_Paita,2026,2.3012252
3.916629241544702e-05,99057.29262448588,2,6135529.543518106,301.7956754382338,Parinas,2026,1.8069189
4.5673087056182367e-05,101742.9778484527,3,6371542.849582084,303.7254265039675,Dist_26Oct,2026,3.097677
3.87991013114807e-05,101089.23236556938,3,6239610.972046685,301.62783434113487,Dist_Paita,2026,2.326742
3.924709787723195e-05,99067.22029537283,3,6041123.555588973,301.7112761161736,Parinas,2026,1.669652
4.664037427645727e-05,101765.79716740362,4,6351257.744022652,302.44911967085807,Dist_26Oct,2026,3.108306
3.9850378402001905e-05,101110.36855127252,4,6574555.185446896,300.1648766991078,Dist_Paita,2026,2.2247193
4.044516245306047e-05,99065.25257338412,4,6233418.687042445,301.11577658063214,Parinas,2026,1.5437291
4.629690727919938e-05,101856.2317648981,5,6273344.567670178,300.56003597270205,Dist_26Oct,2026,3.1375601
4.045800308320629e-05,101195.87846578394,5,6322416.765595029,298.5538565332195,Dist_Paita,2026,2.4808257
4.126979065544243e-05,99122.30346556558,5,6196160.142929797,299.90517810442196,Parinas,2026,1.3288324
5.068369060237685e-05,101948.28592756252,6,5932288.12320688,298.73900010884745,Dist_26Oct,2026,3.2760224
4.246960324013991e-05,101279.96894704895,6,5914275.111177371,297.2393649767278,Dist_Paita,2026,2.6429713
4.346034498077768e-05,99188.2518506814,6,5953206.155065603,298.47746796774464,Parinas,2026,1.2303087
5.280499735699783e-05,101957.49277895447,7,6017917.927815761,297.72787270725553,Dist_26Oct,2026,3.225831
4.3597868802143634e-05,101286.60435923374,7,5990519.176671013,296.33646942816836,Dist_Paita,2026,2.6324835
4.549615370153312e-05,99184.74143301892,7,6114700.459984826,297.71394544754884,Parinas,2026,1.2947323
5.326390298733374e-05,101995.97123139682,8,6597560.424794454,297.3957654532922,Dist_26Oct,2026,3.3428733
4.478487492544733e-05,101326.66932040793,8,6520664.8173245285,295.8232094135722,Dist_Paita,2026,2.5830882
4.6716101757779115e-05,99219.71386637291,8,6689061.557495315,297.308875525904,Parinas,2026,1.4038382
5.4599859297866495e-05,101944.203532572,9,7339450.729033834,297.68469359988427,Dist_26Oct,2026,3.5152814
4.675766988324617e-05,101302.71388975056,9,6823897.497090621,295.7895723894378,Dist_Paita,2026,2.5668888
4.8454764782413675e-05,99179.21588012633,9,7245590.430804544,297.4178418246111,Parinas,2026,1.7362363
5.2540696439765756e-05,101916.52234227778,10,7471575.704323939,298.1984921024332,Dist_26Oct,2026,3.4501293
4.5403566190260975e-05,101277.86668496477,10,7048159.073496512,296.13152443208634,Dist_Paita,2026,2.571271
4.6953847297829896e-05,99158.6794922325,10,7439363.486815208,297.8239277028616,Parinas,2026,1.7411745
5.1032062588001556e-05,101899.34366427916,11,7322942.036945534,298.5670479390129,Dist_26Oct,2026,3.4029508
4.382513097245576e-05,101262.13326425449,11,7428224.3130633645,296.512903835451,Dist_Paita,2026,2.6659007
4.533733977231676e-05,99150.4579094517,11,7527818.773624173,297.848587304516,Parinas,2026,1.7848281
5.074947573387356e-05,101806.83803107982,12,6822428.1207339475,300.5693474135862,Dist_26Oct,2026,3.3818023
4.2123872576944696e-05,101173.809812597,12,6998087.197609812,298.29812046956096,Dist_Paita,2026,2.4950025
4.2796870828503784e-05,99084.05693998573,12,6819512.957302229,299.4633461708431,Parinas,2026,1.8087833
4.801595435247412e-05,102304.46510061248,1,6557121.7952388,304.08127114737545,Dist_26Oct,2027,3.7235813
3.900514168191403e-05,101650.5879365273,1,6804372.877311385,301.56074602003923,Dist_Paita,2027,2.7248151
3.917738185679179e-05,99590.81324314997,1,6357052.093219193,302.4314076107933,Parinas,2027,2.0536947
4.679588711578657e-05,102239.22867214069,2,6395714.740611122,305.4011136409238,Dist_26Oct,2027,3.669858
3.8822865142086234e-05,101586.49833129525,2,6703956.698005409,303.09415700608054,Dist_Paita,2027,2.7301323
3.936018495215715e-05,99547.67526124076,2,6165903.452149385,303.28971343545277,Parinas,2027,2.0391366
4.589919144754961e-05,102246.65595661335,3,6403085.140916649,305.2290177242842,Dist_26Oct,2027,3.6195633
3.899117607044842e-05,101589.67410995338,3,6270500.135274639,303.12104144183354,Dist_Paita,2027,2.820155
3.9441390440980623e-05,99557.65207901329,3,6071030.107844363,303.20489629496655,Parinas,2027,1.9449084
4.687126721841992e-05,102269.58824248979,4,6382699.614042565,303.9463925405158,Dist_26Oct,2027,3.6422355
4.004765750300191e-05,101610.91493023922,4,6607102.488345148,301.650841435242,Dist_Paita,2027,2.7191658
4.064538602956077e-05,99555.67461582662,4,6264277.195394141,302.6064487419224,Parinas,2027,1.822583
4.6526099889492445e-05,102360.47053601146,5,6304400.728896268,302.04795694286395,Dist_26Oct,2027,3.6701052
4.065829022718256e-05,101696.84816115911,5,6353715.8584940145,300.0318459219978,Dist_Paita,2027,2.955982
4.14740965497763e-05,99613.0079381674,5,6226834.203043311,301.38985720394885,Parinas,2027,1.6049871
5.093459996179455e-05,102452.98041235244,6,5961655.886193053,300.21790604998034,Dist_26Oct,2027,3.8208401
4.2679848800734664e-05,101781.35493193533,6,5943553.700836664,298.7108469815631,Dist_Paita,2027,3.1400878
4.3675495203454805e-05,99679.28280043724,6,5982677.472664937,299.9550791953077,Parinas,2027,1.5041201
5.306640823500277e-05,102462.23284221663,7,6047709.60072574,299.2017730671924,Dist_26Oct,2027,3.822349
4.3813699835817615e-05,101788.02319269528,7,6020175.212199087,297.80348165306026,Dist_Paita,2027,3.1539395
4.5721382185204076e-05,99675.75500446951,7,6144971.254341186,299.18777686065556,Parinas,2027,1.488231
5.352758567538984e-05,102500.9017820473,8,6630221.615016209,298.8680217179125,Dist_26Oct,2027,3.9196057
4.500658222705845e-05,101828.28649526143,8,6552945.336222175,297.2876807473028,Dist_Paita,2027,3.12256
4.694736958826317e-05,99710.9005686817,8,6722175.723621529,298.78070164236885,Parinas,2027,1.5429788
5.487015563102425e-05,102448.87780748574,9,7375784.643534002,299.15838020186385,Dist_26Oct,2027,4.0554514
4.6989143496529567e-05,101804.2124733632,9,6857679.167868298,297.25387720324693,Dist_Paita,2027,3.1305203
4.869463985559394e-05,99670.20209735468,9,7281459.690362982,298.8902073781983,Parinas,2027,1.8498137
5.280079889738836e-05,102421.059581596,10,7508563.702860196,299.6747222613561,Dist_26Oct,2027,3.992775
4.5628336319915735e-05,101779.24226261312,10,7083050.95009798,297.59752207778973,Dist_Paita,2027,3.078624
4.7186292086433015e-05,99649.56404417426,10,7476192.018928153,299.29830358257874,Parinas,2027,1.8847756
5.128469656120948e-05,102403.79586063698,11,7359194.225247244,300.0451026317803,Dist_26Oct,2027,3.9478366
4.404208706637881e-05,101763.43095368148,11,7464997.700751797,297.98078949800276,Dist_Paita,2027,3.0399532
4.556178204841733e-05,99641.3017604886,11,7565085.20319657,299.32308526146903,Parinas,2027,1.9071368
5.100071076225907e-05,102310.83227875843,12,6856202.517371245,302.05731447999005,Dist_26Oct,2027,3.9059572
4.233240659960284e-05,101674.67025721382,12,7032731.193637583,299.7748438382221,Dist_Paita,2027,2.9553282
4.3008736525674595e-05,99574.572073352,12,6853272.922437388,300.9458379835701,Parinas,2027,2.050829
4.825248614731389e-05,102808.4279828815,1,6589422.887826184,305.57920844366794,Dist_26Oct,2028,4.216576
3.919728523699735e-05,102151.32974902251,1,6837891.955524743,303.0462669363941,Dist_Paita,2028,3.1493516
3.9370373885642984e-05,100081.4083822788,1,6388367.620771997,303.92121750050165,Parinas,2028,2.305731
4.702640872719439e-05,102742.87019269311,2,6427220.724555018,306.90555262437664,Dist_26Oct,2028,4.1941276
3.901411078318025e-05,102086.92443144941,2,6736981.115236962,304.5872316711351,Dist_Paita,2028,3.2179596
3.955407748886728e-05,100038.05789799563,2,6196277.360780662,304.78375143267175,Parinas,2028,2.3375862
4.612529583891685e-05,102750.33406477401,3,6434627.432251214,306.7326089446008,Dist_26Oct,2028,4.14702
3.918325082941615e-05,102090.11585433739,3,6301389.298502593,304.6142485425322,Dist_Paita,2028,3.3205678
3.9635683004729294e-05,100048.08386265374,3,6100936.660099754,304.69851647375947,Parinas,2028,2.291812
4.710216016038259e-05,102773.37931757593,4,6414141.48406248,305.4436654101735,Dist_26Oct,2028,4.171423
4.024493660400192e-05,102111.46130920592,4,6639649.7912433995,303.1368061713762,Dist_Paita,2028,3.244921
4.084560960606107e-05,100046.09665826912,4,6295135.703745835,304.09712090321267,Parinas,2028,2.1678839
4.6755292499785517e-05,102864.70930712481,5,6335456.890122358,303.53587791302584,Dist_26Oct,2028,4.2134595
4.0858577371158825e-05,102197.81785653427,5,6385014.951393,301.5098353107761,Dist_Paita,2028,3.4567432
4.167840244411018e-05,100103.7124107692,5,6257508.263156825,302.8745363034757,Parinas,2028,1.9849317
5.118550932121226e-05,102957.67489714235,6,5991023.649179226,301.69681199111324,Dist_26Oct,2028,4.3812566
4.289009436132941e-05,102282.74091682171,6,5972832.290495958,300.1823289863984,Dist_Paita,2028,3.693008
4.389064542613192e-05,100170.31375019309,6,6012148.790264272,301.4326904228708,Parinas,2028,1.9159905
5.3327819113007714e-05,102966.97290547877,7,6077501.273635719,300.6756734271293,Dist_26Oct,2028,4.3979487
4.402953086949159e-05,102289.44202615684,7,6049831.247727161,299.27049387795216,Dist_Paita,2028,3.6896188
4.594661066887503e-05,100166.7685759201,7,6175242.048697547,300.6616082737622,Parinas,2028,1.8981704
5.3791268363445954e-05,103005.83233269777,8,6662882.805237964,300.3402779825327,Dist_26Oct,2028,4.4807105
4.5228289528669575e-05,102329.90367011495,8,6585225.855119821,298.75215208103333,Dist_Paita,2028,3.7179341
4.717863741874722e-05,100202.08727099047,8,6755289.8897477435,300.2525277588337,Parinas,2028,1.8721656
5.5140451964182006e-05,102953.55208239946,9,7412118.5580341695,300.6320668038435,Dist_26Oct,2028,4.5911956
4.722061710981296e-05,102305.71105697581,9,6891460.838645974,298.718182017056,Dist_Paita,2028,3.6869576
4.893451492877421e-05,100161.18831458302,9,7317328.949921421,300.36257293178545,Parinas,2028,2.100507
5.306090135501096e-05,102925.5968209142,10,7545551.701396453,301.15095242027905,Dist_26Oct,2028,4.542941
4.585310644957049e-05,102280.61784026146,10,7117942.826699448,299.06351972349313,Dist_Paita,2028,3.6457362
4.741873687503613e-05,100140.448596116,10,7513020.5510411,300.77267946229586,Parinas,2028,2.1843576
5.1537330534417414e-05,102908.24805699481,11,7395446.413548956,301.5231573245477,Dist_26Oct,2028,4.4658093
4.4259043160301855e-05,102264.7286431085,11,7501771.08844023,299.4486751605545,Dist_Paita,2028,3.502125
4.578622432451791e-05,100132.14561152548,11,7602351.632768967,300.79758321842206,Parinas,2028,2.1621416
5.125194579064459e-05,102814.82652643704,12,6889976.914008541,303.545281546394,Dist_26Oct,2028,4.4486117
4.2540940622260985e-05,102175.53070183063,12,7067375.189665355,301.25156720688335,Dist_Paita,2028,3.4703467
4.3220602222845406e-05,100065.08720671826,12,6887032.887572547,302.428329796297,Parinas,2028,2.3552544
4.8489017942153666e-05,103312.39086515053,1,6621723.980413567,307.07714573996043,Dist_26Oct,2029,4.7161736
3.938942879208067e-05,102652.07156151772,1,6871411.033738099,304.53178785274895,Dist_Paita,2029,3.6184218
3.9563365914494174e-05,100572.0035214076,1,6419683.148324801,305.41102739021,Parinas,2029,2.5957615
4.725693033860221e-05,103246.51171324553,2,6458726.708498916,308.40999160782945,Dist_26Oct,2029,4.7218757
3.920535642427428e-05,102587.35053160357,2,6770005.532468516,306.0803063361897,Dist_Paita,2029,3.7243373
3.974797002557742e-05,100528.44053475052,2,6226651.26941194,306.27778942989073,Parinas,2029,2.6960964
4.6351400230284085e-05,103254.01217293467,3,6466169.723585779,308.23620016491753,Dist_26Oct,2029,4.6739726
3.937532558838388e-05,102590.5575987214,3,6332278.461730547,306.10745564323094,Dist_Paita,2029,3.8342743
3.982997556847797e-05,100538.51564629421,3,6130843.212355145,306.1921366525524,Parinas,2029,2.6531184
4.733305310234524e-05,103277.1703926621,4,6445583.354082394,306.94093827983124,Dist_26Oct,2029,4.700359
4.044221570500193e-05,102612.0076881726,4,6672197.094141652,304.6227709075104,Dist_Paita,2029,3.7788231
4.1045833182561366e-05,100536.5187007116,4,6325994.212097531,305.58779306450293,Parinas,2029,2.555454
4.698448511007858e-05,103368.94807823817,5,6366513.051348448,305.02379888318774,Dist_26Oct,2029,4.7446923
4.10588645151351e-05,102698.78755190944,5,6416314.044291985,302.98782469955444,Dist_Paita,2029,3.9724267
4.188270833844405e-05,100594.41688337101,5,6288182.323270339,304.3592154030025,Parinas,2029,2.4091487
5.143641868062997e-05,103462.36938193227,6,6020391.412165399,303.17571793224613,Dist_26Oct,2029,4.938217
4.310033992192416e-05,102784.1269017081,6,6002110.880155252,301.6538109912337,Dist_Paita,2029,4.2132573
4.410579564880904e-05,100661.34469994894,6,6041620.107863607,302.9103016504339,Parinas,2029,2.3273628
5.358922999101265e-05,103471.71296874093,7,6107292.946545698,302.14957378706623,Dist_26Oct,2029,4.961812
4.424536190316557e-05,102790.86085961839,7,6079487.283255236,300.7375061028441,Dist_Paita,2029,4.2532907
4.617183915254599e-05,100657.78214737069,7,6205512.843053907,302.1354396868689,Parinas,2029,2.335786
5.405495105150206e-05,103510.76288334824,8,6695543.995459718,301.812534247153,Dist_26Oct,2029,5.0367246
4.5449996830280705e-05,102831.52084496844,8,6617506.374017467,300.2166234147639,Dist_Paita,2029,4.295925
4.7409905249231274e-05,100693.27397329925,8,6788404.055873958,301.7243538752986,Parinas,2029,2.3453205
5.541074829733976e-05,103458.22635731318,9,7448452.472534336,302.1057534058231,Dist_26Oct,2029,5.123949
4.7452090723096366e-05,102807.20964058844,9,6925242.509423651,300.1824868308651,Dist_Paita,2029,4.2407527
4.917439000195448e-05,100652.17453181138,9,7353198.209479859,301.8349384853726,Parinas,2029,2.4369624
5.332100381263356e-05,103430.1340602324,10,7582539.69993271,302.627182579202,Dist_26Oct,2029,5.0866084
4.607787657922525e-05,102781.9934179098,10,7152834.703300916,300.5295173691965,Dist_Paita,2029,4.184339
4.765118166363925e-05,100631.33314805775,10,7549849.083154047,302.247055342013,Parinas,2029,2.5128977
5.178996450762534e-05,103412.70025335262,11,7431698.601850666,303.0012120173151,Dist_26Oct,2029,4.9855022
4.447599925422491e-05,102766.02633253549,11,7538544.476128662,300.91656082310624,Dist_Paita,2029,4.0432887
4.601066660061849e-05,100622.98946256237,11,7639618.062341364,302.27208117537515,Parinas,2029,2.531718
5.1503180819030096e-05,103318.82077411565,12,6923751.310645837,305.0332486127979,Dist_26Oct,2029,4.9926867
4.2749474644919126e-05,102676.39114644745,12,7102019.185693126,302.7282905755445,Dist_Paita,2029,4.053715
4.343246792001622e-05,100555.60234008453,12,6920792.852707707,303.91082160902397,Parinas,2029,2.7037256
